Loading Zone 7:00am-6:00pm Mon-Fri|[{day_s:1, day_e: 5, hour_s: 7, hour_e: 18}]
Loading Zone 7:00am-7:00pm Mon-Fri|[{day_s:1, day_e: 5, hour_s: 7, hour_e: 19}]
Loading Zone 7:30am-6:00pm Mon-Fri; 7:30am-4:00pm Sat|[{day_s:1, day_e: 5, hour_s: 7, hour_e: 18},{day_s:6, day_e:6,hour_s:7.5, hour_e:16}]
Loading Zone 8:00am-5.30pm Mon-Fri 8:00am-12:00pm Sat|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 17.5},{day_s:6, day_e:6,hour_s:8, hour_e:12}]
Loading Zone 8:00am-5.30pm Mon-Fri 8:00am-4:00pm Sat|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 17.5},{day_s:6, day_e:6,hour_s:8, hour_e:16}]
Loading Zone 8:00am-5:00pm Mon-Fri|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 17}]
Loading Zone 8:00am-5:00pm Mon-Fri 8:00am-4:00pm Sat|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 17.5},{day_s:6, day_e:6,hour_s:8, hour_e:16}]
Loading Zone 8:00am-5:30pm Mon-Fri|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 17.5}]
Loading Zone 8:00am-5:30pm Mon-Fri 8:00am-11:30pm Sat|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 17.5},{day_s:6, day_e:6,hour_s:8, hour_e:11.5}]
Loading Zone 8:00am-6.00pm Mon-Fri 8:00am-4:00pm Sat|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 18},{day_s:6, day_e:6,hour_s:8, hour_e:16}]
Loading Zone 8:00am-6:00pm Mon-Fri 8:00-12:00pm Sat|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 18},{day_s:6, day_e:6,hour_s:8, hour_e:12}]
Loading Zone 8:00am-6:00pm Mon-Fri 8:00-4:00pm Sat|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 18},{day_s:6, day_e:6,hour_s:8, hour_e:16}]
Loading Zone 8:00am-6:00pm Mon-Fri 8:00am-4:00pm Sat|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 18},{day_s:6, day_e:6,hour_s:8, hour_e:16}]
Loading Zone 8:00am-6:00pm Mon-Fri 8:00am-4:00pm Sat; Taxi Zone 10:00pm-6:00am|[{hour_s:0,hour_e:6},{hour_s:22,hour_e:24},{day_s:1, day_e: 5, hour_s: 8, hour_e: 18},{day_s:6, day_e:6,hour_s:8, hour_e:16}]
Loading Zone 8:00am-6:00pm Mon-Fri 8:00am-4:00pm Sat;Taxi zone 10:00pm-6:00am |[{hour_s:0,hour_e:6},{hour_s:22,hour_e:24},{day_s:1, day_e: 5, hour_s: 8, hour_e: 18},{day_s:6, day_e:6,hour_s:8, hour_e:16}]
Loading Zone 8:00am-6:00pm Mon-Fri 9:00am-4:00pm Sat|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 18},{day_s:6, day_e:6,hour_s:9, hour_e:16}]
Loading Zone 8am-4:30pm Mon-Fri|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 16.5}]
Loading Zone 8am-6pm Mon-Fri 8am-4pm Sat|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 18},{day_s:6, day_e:6,hour_s:8, hour_e:16}]
Loading Zone 8am-6pm Mon-Fri, 8am-4pm Sat|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 18},{day_s:6, day_e:6,hour_s:8, hour_e:16}]
Loading Zone 9:00am-5.30pm Mon-Fri 9:00am-11.30am Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:11.5}]
Loading Zone 9am-530pm Mon-Fri; 9am-12pm Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:12}]
Loading Zone Permit Vehicles 8:00am-6:00pm Mon-Fri 8:00am-4:00pm Sat|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 18},{day_s:6, day_e:6,hour_s:8, hour_e:16}]
Loading Zone, 8am-5:30pm,Mon-Fri; 8-11:30, Sat|[{day_s:1, day_e: 5, hour_s: 8, hour_e: 17.5},{day_s:6, day_e:6,hour_s:8, hour_e:11.5}]
